,SP500_Return,Trading_Range,Volume,Volume_Change,Initial_Claims,Mortgage_Rate,Weekly_Economic_Index,Initial_Claims_WoW_Change,Mortgage_Rate_WoW_Change,Weekly_Economic_Index_WoW_Change,Returns_Lag1,Returns_Lag2,Returns_MA4,Returns_Vol4
2022-05-06,-0.0020790119062517043,6.034450275693431,25076170000,0.017788447879080627,219000.0,5.27,4.43,4.285714285714293,3.3333333333333215,2.073732718894017,-0.032738019375660454,-0.027503150280612898,-0.02091003516325629,0.01339335472055182
2022-05-13,-0.02411878596973216,5.763342522288467,29126270000,0.16151190552624262,206000.0,5.3,4.33,-5.936073059360735,0.569259962049351,-2.2573363431151128,-0.0020790119062517043,-0.032738019375660454,-0.021609741883064304,0.013494635207475817
2022-05-20,-0.03045058101173459,7.358959281981865,24603940000,-0.1552663626341444,224000.0,5.25,4.24,8.737864077669899,-0.9433962264150941,-2.0785219399538035,-0.02411878596973216,-0.0020790119062517043,-0.022346599565844727,0.013994902347266533
2022-05-27,0.06584373651241293,7.312280107546798,23231370000,-0.05578659352932902,212000.0,5.1,3.65,-5.35714285714286,-2.857142857142869,-13.915094339622646,-0.03045058101173459,-0.02411878596973216,0.0022988394061736195,0.044073934090218814
2022-06-03,-0.011952218369117418,2.544513555576997,19471340000,-0.16185141039895623,201000.0,5.09,3.59,-5.188679245283023,-0.19607843137254832,-1.6438356164383605,0.06584373651241293,-0.03045058101173459,-0.00016946220954280888,0.04467322842114444
2022-06-10,-0.05054835286161996,6.887406647426253,21764190000,0.1177551211164718,215000.0,5.23,3.93,6.965174129353224,2.7504911591355707,9.470752089136504,-0.011952218369117418,0.06584373651241293,-0.006776853932514759,0.050914713086178495
2022-06-17,-0.05794107281653571,5.534423245004572,30486930000,0.40078404020549363,214000.0,5.78,2.89,-0.46511627906976605,10.516252390057357,-26.46310432569975,-0.05054835286161996,-0.011952218369117418,-0.01364947688371504,0.05670192289866011
2022-06-24,0.06446536357442745,5.338446606662807,23570150000,-0.22687689445936343,216000.0,5.81,3.36,0.9345794392523255,0.519031141868509,16.262975778546696,-0.05794107281653571,-0.05054835286161996,-0.01399407011821141,0.056058322388343795
2022-07-01,-0.022089891538061512,5.54181540163797,21693690000,-0.07961171227166564,213000.0,5.7,3.1,-1.388888888888884,-1.8932874354561036,-7.738095238095233,0.06446536357442745,-0.05794107281653571,-0.016528488410447434,0.05616430238910122
2022-07-08,0.01935775558583841,4.7150483595539985,17073700000,-0.21296469157621412,214000.0,5.3,3.5,0.46948356807512415,-7.017543859649134,12.903225806451601,-0.022089891538061512,0.06446536357442745,0.0009480387014171587,0.05282689315074618
2022-07-15,-0.009288648911272679,4.282609451497719,19693570000,0.15344477178350324,216000.0,5.51,2.99,0.9345794392523255,3.9622641509434064,-14.57142857142857,0.01935775558583841,-0.022089891538061512,0.013111144677732917,0.03837160256327855
2022-07-22,0.02548948864230627,5.075382127660009,20385270000,0.03512313917689891,217000.0,5.54,3.31,0.4629629629629539,0.5444646098003769,10.702341137123739,-0.009288648911272679,0.01935775558583841,0.0033671759447026217,0.02275468848360121
2022-07-29,0.042573425897691974,5.8661509760874235,20488830000,0.005080138747242557,221000.0,5.3,3.44,1.8433179723502224,-4.3321299638989235,3.92749244712991,0.02548948864230627,-0.009288648911272679,0.019533005303640993,0.021579767832101547
2022-08-05,0.0036074711952025496,2.1532889128306776,21651540000,0.05674848197774107,229000.0,4.99,3.24,3.619909502262453,-5.8490566037735725,-5.813953488372081,0.042573425897691974,0.02548948864230627,0.015595434205982028,0.02301183172950518
2022-08-12,0.03255820911591689,4.094763915474093,21098400000,-0.02554737445927635,221000.0,5.22,3.44,-3.4934497816593857,4.609218436873741,6.1728395061728225,0.0036074711952025496,0.042573425897691974,0.02605714871277942,0.016526357301927502
2022-08-19,-0.01207198884476135,2.526360843611811,19013350000,-0.0988250293861146,220000.0,5.13,3.27,-0.4524886877828038,-1.724137931034475,-4.941860465116276,0.03255820911591689,0.0036074711952025496,0.016666779341012516,0.025299237157052144
2022-08-26,-0.04039751143398784,3.5828563778660576,18714200000,-0.015733681860377047,216000.0,5.55,3.15,-1.8181818181818188,8.187134502923964,-3.669724770642202,-0.01207198884476135,0.03255820911591689,-0.004075954991907438,0.030464673736438845
2022-09-02,-0.0328760677911033,4.081823213576537,19592960000,0.046956856290944815,210000.0,5.66,2.87,-2.777777777777779,1.981981981981984,-8.888888888888879,-0.04039751143398784,-0.01207198884476135,-0.013196839738483901,0.032771625646969435
2022-09-09,0.03646549853988823,4.889948121020132,15886450000,-0.1891756018488273,205000.0,5.89,3.11,-2.3809523809523836,4.06360424028267,8.362369337979093,-0.0328760677911033,-0.04039751143398784,-0.012220017382491066,0.03459742265247277
2022-09-16,-0.04770416785639919,7.354543071437479,24728470000,0.5565762017316644,197000.0,6.02,2.91,-3.9024390243902474,2.2071307300509213,-6.430868167202563,0.03646549853988823,-0.0328760677911033,-0.021128062135400527,0.03887001817900754
